id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
48799284,Student Only Property: Pleasant 2 Bedroom Apartment - 12 months LOS/10%OFF,226804666,,,Central,51.45353,-2.59714,Entire home/apt,32,1,0,,,50,0
48799462,Student Only Property: Quiet 2 Bed Flat,226804666,,,Central,51.45528,-2.5955,Entire home/apt,35,1,0,,,50,0
48799768,Fivestar Studio,378060726,Svetlana,,Central,51.4562,-2.59554,Entire home/apt,43,1,0,,,5,0
48799813,Standard 2 Bed Flat,378060726,Svetlana,,Central,51.45543,-2.59742,Entire home/apt,40,1,0,,,5,0
48799872,Student Only Property: Valuable 2 Bed Flat,226804666,,,Central,51.45655,-2.596,Entire home/apt,35,1,0,,,50,0
48800885,Student Only Property: Shiny Studio,226804666,,,Central,51.45555,-2.59591,Entire home/apt,38,1,0,,,50,0
48801075,Student Only Property: Functional 2 Bed Flat - 12 months/ 10%OFF,226804666,,,Central,51.45556,-2.59728,Entire home/apt,32,1,0,,,50,0
48802713,Student Only Property: Enormous Studio Penthouse,226804666,,,Central,51.45517,-2.59625,Entire home/apt,41,1,0,,,50,358
48802727,Student Only Property: Gratifying 3 Bedroom Flat,226804666,,,Central,51.45617,-2.59741,Entire home/apt,34,1,0,,,50,0
48802737,Student Only Property: Stunning Studio,226804666,,,Central,51.45341,-2.59597,Entire home/apt,38,1,0,,,50,358
48802752,Student Only Property: Suitable 2 Bedroom Apartment,226804666,,,Central,51.45476,-2.59581,Entire home/apt,35,1,0,,,50,358
48802762,Student Only Property: Excellent 3 Bedroom Flat,226804666,,,Central,51.45616,-2.59546,Entire home/apt,34,1,0,,,50,0
48802773,Student Only Property: Luxurious Studio Penthouse,226804666,,,Central,51.45496,-2.5977,Entire home/apt,41,1,0,,,50,358
48802792,Student Only Property: Special 2 Bedroom Apartment,226804666,,,Central,51.45372,-2.59781,Entire home/apt,35,1,0,,,50,358
48802823,Student Only Property: Exclusive Studio,226804666,,,Central,51.45518,-2.59775,Entire home/apt,38,1,0,,,50,358
48876534,Comfortable The Galaxy (v20),378060726,Svetlana,,Clifton,51.45081,-2.6169,Entire home/apt,50,1,0,,,5,327
48876554,Fascinating Neptune (v20),378060726,Svetlana,,Hotwells & Harbourside,51.44951,-2.61742,Private room,41,1,0,,,5,358
48876625,Warm Pluto (v20),378060726,Svetlana,,Hotwells & Harbourside,51.44957,-2.61672,Private room,40,1,0,,,5,358
48882015,Centrally-located flat in stunning period building,394278202,David,,Central,51.45559,-2.5987,Entire home/apt,95,1,9,2021-07-15,3.07,1,43
48927556,Habourside Creative Retreat in Bristol Centre,42886024,James,,Central,51.44818,-2.59605,Private room,100,1,5,2021-06-27,3.19,1,350
48972207,"Luxury Apartment in the heart of Clifton, parking",73343611,Danielle,,Clifton Down,51.46,-2.61305,Entire home/apt,120,1,11,2021-07-04,3.63,1,308
48986901,Marsh Villa by StayBC,176181147,StayBC,,Central,51.45359,-2.59645,Entire home/apt,109,2,14,2021-07-02,4.33,12,327
49048221,"Full appartment in Victorian house, full of charm!",34703517,Sophie,,Cotham,51.46587,-2.60526,Entire home/apt,100,4,3,2021-05-29,1.15,1,235
49054876,Amazing 1 Bedroom in City Centre,145484295,Urban Creation,,Central,51.45517,-2.60227,Entire home/apt,135,1,0,,,2,32
